113.5,104.9,8.6,60.1,1.88,18.3,25,75.7,51.6,13.3,55,58.3,103.57,55.3
112.6,106.8,5.8,60.3,1.81,18.2,26.5,72.6,50.2,13.8,54.3,57.9,100.52,53.3
115,108.6,6.5,66.8,2.06,20.4,25.7,72.7,50.5,13.9,56.5,59.6,101.73,54.6
112.1,108.1,4,65.3,2.04,19.3,30.8,74.4,52.4,13.6,52.7,55.8,98.49,52.4
114.9,110.1,4.8,54.1,1.59,15.9,26.9,70,48.1,13.5,54.2,58.1,98.39,49.8
113.7,109.5,4.2,54.4,1.66,16.6,30.8,73.9,52.6,13.7,52.8,56.8,99.96,52.1
111.6,109,2.6,64.8,1.8,18.7,27.8,74.1,51.7,14.4,53.2,57.4,102.59,52.9
110.3,105.3,5,64.4,1.72,18.5,27.5,75.9,52.2,14.9,53.8,57.2,100.84,53.9
111.3,107,4.3,62.4,2.05,18.8,25.7,72.8,49.5,12.7,53.4,56.7,100.43,53
109.8,106.5,3.4,54.8,1.67,16.3,29.8,73.8,50.9,13.4,51.4,54.5,103.38,50.6
109.4,106,3.4,62.8,1.9,18.9,26.9,72.2,49.9,13.9,53,56.1,98.64,52.7
111.4,110.4,1,58.2,1.65,17.1,26.3,72.2,50,14.1,52.9,57.5,102.66,50.5
112.2,110.5,1.6,58,2.03,18.1,24.6,74.4,50.1,12.2,53.4,57.2,98.89,51.6
108.9,109,-0.1,59.2,1.58,16.9,28.2,72,50.1,14.6,52,55.6,101.51,49.2
108.2,107.6,0.6,63.2,1.94,18.6,25.9,75.4,50.4,13.3,51.8,55,98.65,50.8
108.4,108.7,-0.3,57.9,1.63,16.5,29.1,74.5,50.9,14,50.9,54.4,97.88,48.2
110.7,112,-1.3,57.8,1.9,17,26.8,73.1,49.5,12.2,51.4,55.4,99.18,48.6
106.7,107.1,-0.4,61.2,1.65,17.6,29.1,73.1,50.9,14.9,51.5,54.2,98.74,50.1
109.6,110.8,-1.2,58.8,1.9,17.7,26.8,71.3,48.7,12.8,52.4,55.4,103.88,49.5
107.4,108.9,-1.6,60,1.63,17.8,27,72.5,50.2,15,52.7,55.4,103.6,49.5
110.6,112.2,-1.6,59.1,1.88,17.4,29.2,70.9,49.7,12.9,51.1,55.2,100.88,49.8
108.7,110.1,-1.5,60.3,1.64,17,27.3,73.4,50.3,14.2,51.9,55.5,99.6,49.2
105.6,108,-2.4,63.1,1.71,17.9,24.7,72.4,48.4,14.3,50.8,54.8,97.15,49
110.7,112,-1.3,61.9,1.82,18.6,28.5,72.9,50.9,14.2,52.9,56.3,103.89,49.8
110.2,112.9,-2.7,62.3,1.87,18.4,25.2,70.6,47.7,13.6,53.1,56.7,102.24,48.7
107.5,113.1,-5.5,62.4,1.52,17.7,28.4,71.8,49.6,16.2,52.2,55.5,104.56,46.4
104.5,112.8,-8.3,55,1.55,16.3,24.2,72.7,48.3,14.1,50.5,54.1,99.3,45.3
106.8,116.8,-10,53.2,1.54,15.6,28.2,73.2,49.6,13.8,50.3,54,97.38,43.6
105.3,114.2,-8.9,59.5,1.53,17.3,24.7,68.3,46.4,15.3,51.4,55.2,101.15,45
104,112.9,-8.9,52.5,1.43,14.9,26.4,71.7,48.6,14,49,52.9,100.16,44.2
114.1,105.7,8.4,55.7,1.56,16.4,25.4,75,50.3,14.1,55.1,59,98.02,53.1
113,105.3,7.7,59,1.82,17.9,27.4,72.5,50.2,13.5,53.9,57.5,98.02,53.8
112.8,106.8,5.9,68.5,1.9,20.9,24.3,71.2,49.7,15.3,56.9,60.3,100.35,55.4
106.8,103.2,3.6,58.6,1.6,17,26.3,73.9,50.4,14.4,51.8,55.2,96.75,51.9
108.5,103.9,4.6,66.3,1.64,19.1,28.6,73.6,52,16.3,53.5,56.8,100.75,54.2
112,111.1,1,57.9,1.7,17.5,24.3,73,49.2,13.9,54.7,58.4,98.72,50.2
108.4,105.7,2.7,49.6,1.44,15,27.9,74.6,51.3,13.9,51.1,54.9,97.11,51
108.5,107.3,1.3,54.4,1.67,16.8,27.1,72.1,49.6,13.6,52.5,55.7,96.84,50.9
108.5,107.4,1.1,62.7,1.79,19,24,72.6,49.4,14.5,54.1,57.3,101.48,52.5
110.1,106.4,3.7,53.5,1.53,15.8,32,72.5,51.5,14.3,51.4,54.6,97.34,50.8
107.4,103,4.4,58.6,1.53,17.1,25.6,75.6,50.9,15.2,52.7,56.4,96.58,53.2
112.5,110.2,2.3,55.3,1.82,17,28.9,72,50.3,12.8,52.3,56.6,96.75,51.8
107.1,104.1,3,58.3,1.73,17.3,27.7,74.1,50.8,13.7,50.7,54.3,95.7,52.5
111.4,110,1.4,61.7,1.68,18.2,30,73.6,51.7,15.1,53.6,57,97.69,51.1
106.2,105.8,0.4,58.5,1.58,17.1,26.1,74.1,50.1,14.8,52,55.1,96.1,50.5
109,109.1,-0.2,58.5,1.68,17.7,24.4,70.9,48,14.2,53.1,57.1,97.03,50.2
108.1,107.7,0.4,63.1,1.73,18.4,27.4,73.2,50.4,14.8,52.5,56,97.67,50.9
109.4,109.2,0.2,55.5,1.52,16.5,28.4,71.8,50.4,14.7,52.7,56.4,99.54,49.7
106.6,106.7,-0.1,58.2,1.7,17.1,26.9,74,49.9,13.8,51.2,54.3,96.75,48.9
109,109,-0.1,55.4,1.7,16.1,27.1,76.3,51.2,12.8,50.8,54.9,98.66,50
106,107.3,-1.3,58.4,1.51,17,27.9,72.9,50.5,15.5,51.7,54.8,100.9,49.1
106.3,109.7,-3.4,57.3,1.58,17.2,28.9,72.7,50.9,15,51,54.4,97.64,48.1
106.1,109.7,-3.6,61.9,1.56,17.3,25.1,73.1,48.9,15.1,51.4,55.1,99.66,47.4
103.4,110.5,-7,60.7,1.68,17.3,25.6,76.7,50,14.1,49.7,52.9,98.65,45.3
103.1,110.4,-7.3,55.6,1.57,16.6,26.4,73.1,48.9,14.3,50.2,52.9,95.5,45.1
104.7,109.4,-4.7,60.4,1.61,17.5,24.8,71.4,48,14.7,51.2,54.5,98.58,47.2
104.4,110.1,-5.7,62.2,1.53,17.6,26.3,71.9,48.9,15.7,51.2,54.7,98.76,46.8
105.4,108.4,-2.9,59.4,1.85,17.3,22.4,74.9,47.8,12.7,51.3,54.4,96.53,47.5
103.6,110.4,-6.8,58.6,1.44,16.6,27.6,72.1,49.3,15.6,50,53.9,95.65,46
102.8,111.7,-9,55.3,1.35,15.6,27.1,72.4,49.3,15.5,49.5,53.2,101.14,44.2
114.8,103.4,11.4,70.5,2.06,21.2,27.2,70.9,50.4,14.6,56.3,59.7,100.37,57.9
110.3,102.9,7.4,60.6,1.77,18.1,28.2,73,51.1,14.1,52.4,56.4,94.86,55.1
114.1,108.4,5.7,62.6,1.67,18.1,28.1,71.7,49.9,15,54.5,58.3,100.55,51.6
110.6,108,2.6,65.3,1.9,18.8,25.9,70.5,48.5,13.6,52.5,56.7,97.21,51.4
112.8,109.7,3.1,56.7,1.66,17.1,26.4,72.2,49.9,14,54.7,58,96.74,51
111.8,107.5,4.4,57,1.74,17.2,25.6,73.3,50.1,13.3,53.7,57.4,96.77,52.7
111.4,107.1,4.3,47.2,1.46,14.5,29.1,71.7,50.5,13.2,51.7,56.1,95.41,51.6
109,104.7,4.3,54.4,1.48,16.2,27,74.3,51.4,14.8,52.6,56.3,92.09,53.4
110.4,108.8,1.7,57.7,1.68,17.6,28.6,71.6,50.1,14.3,52.8,56.4,97.94,51.1
107.9,107.1,0.8,53.2,1.4,15.5,32.3,74.2,52.8,15.2,50,54,98.18,49.9
104.5,105.2,-0.7,62.1,1.5,17.4,28.2,71.7,50.2,16,50.4,54.1,97.76,50.6
107,106.5,0.5,58.4,1.65,16.5,29.5,73.1,50.7,13.7,49.1,53.5,92.84,50.1
107.9,108.1,-0.2,57.2,1.63,17.2,25.5,71.3,48.8,14.1,51.6,55.8,96.59,50.5
108.5,108.7,-0.2,62.4,1.73,18.5,26,70.6,48.7,14.6,52.7,56.5,94.99,50.4
106.5,106.2,0.3,58.4,1.66,16.8,31.1,73.3,51.9,14,48.7,53,96.02,50.4
107.4,106.4,1,54.4,1.58,16.3,28.4,71.8,49.9,14,51.2,54.1,95.51,50
109.4,110,-0.6,53.4,1.54,16,26.9,72,49.6,13.9,52,55.9,97.38,49.3
112.2,111.7,0.4,61.5,1.69,18.2,31.4,75.3,53.2,15,53,56.8,99.18,50.3
105.3,106.7,-1.4,53,1.78,16.1,28.6,77.5,51.9,12.3,49.2,52.1,95.52,48.2
108.4,108.4,0,61.1,2.01,17.6,24.7,74.9,49.6,11.9,50.1,54.7,95.92,50.5
104.7,106.8,-2.1,58.2,1.77,17.1,22.8,72.8,48,12.9,50.4,53.9,98.56,49.3
104.7,107.7,-3,57.4,1.75,16.8,21.6,73.3,46.5,12.7,50.5,54.1,93.11,47.9
106.6,110.8,-4.2,59.4,1.54,17.3,25.8,72.3,49.2,15.2,51.6,55.6,95.42,47.8
110,110.9,-0.9,60,1.69,17.7,30.9,71,50.7,14.6,51.1,55.5,95.48,50.1
107.1,110.7,-3.6,55.1,1.57,16.3,30.5,69.8,50,14.3,49.6,53.4,96.63,48.2
103.7,110.3,-6.5,58,1.67,16.8,26.7,72.6,49.1,13.7,48.9,52.4,96.9,46
102.7,108.2,-5.5,63.1,1.43,17.4,27.3,70.9,49,16.7,50.1,53.9,99.07,47
105.3,112,-6.7,53.2,1.38,15.6,28.4,71.7,49.4,15.3,50.1,53.7,99.26,44.6
106.1,111.3,-5.2,49.1,1.27,14.4,29.9,71.8,50.3,15.2,49.3,53.8,100.85,46.2
103.6,110.1,-6.5,56.6,1.29,15.9,24.1,71.6,48.3,16.2,50.7,55.1,101.75,46
113.5,102.8,10.6,68,1.91,20.4,26.7,72,50.7,15,56.3,59.3,100.24,56.7
109.3,98.2,11.1,61.1,1.88,18.8,26.6,74.6,51.6,13.8,52.6,56.4,94.54,57.8
110.2,103.9,6.3,58.7,1.67,17.4,29.4,74.2,51.9,14.3,52.4,55.8,93.82,52.8
109.3,104.8,4.4,51.1,1.43,14.9,30,73.6,52,13.9,50.4,55.2,93.35,52.5
112.1,104.8,7.4,55.8,1.44,16.7,34.7,72,54.1,16.2,52.4,56.5,97.54,54.6
107.2,102.7,4.5,59.6,1.76,17.4,23.4,69.7,47.2,13.3,52.4,55.6,96.81,53.3
104.6,100.8,3.9,66.3,1.71,19,23.4,69.8,47.4,15.2,51.6,55.2,97.63,52.8
105.8,102.5,3.3,61.6,1.76,17.4,29,70.7,49.5,13.8,48.8,53.1,99.43,52
106.4,103.7,2.7,58.6,1.73,16.7,24.4,75.4,49.9,12.9,50.2,54.5,96.24,51.1
105.5,103.7,1.7,54.3,1.48,16.3,28,72.9,51.2,14.8,50.8,54.5,94.14,52.5
103.8,102.2,1.6,55.4,1.43,16.1,27.1,71.4,49.4,15.1,49.7,53.6,97.35,51.8
105.3,104.9,0.3,51.2,1.44,14.8,31.3,75.3,52.1,14,49.1,52.2,95.75,48.6
107.6,106.8,0.8,55.2,1.46,16,29.4,72.8,51,15,51.1,54.8,97.06,49.3
104.1,105.5,-1.4,59.1,1.64,17,29,71.4,50.6,14.2,48.7,52.6,96.6,49.4
105.5,105.9,-0.4,59.2,1.73,17,24.1,72.3,48.4,13.2,50.2,54.4,95.34,50.3
104.7,107.1,-2.4,56.2,1.56,16,29.8,70.9,49.5,14,47.7,52.4,93.95,48.3
107.3,107.3,0,58.9,1.39,16.4,29.7,69.2,49.2,16.1,51.6,55.3,98.42,49
104.5,105.1,-0.5,61.9,1.69,18.1,25,73.7,49,14.5,51.1,54.4,99.16,49.7
105,103.2,1.8,52.6,1.27,15.1,30.3,73.1,51.7,16.1,50.1,54,91.66,50.8
104.4,106,-1.6,59.6,1.67,17.6,27.1,72.6,49.5,14.4,50,53.3,96.68,48.8
104.9,108.2,-3.3,60.1,1.55,16.9,30.4,73.2,51.3,15.1,48.9,53.1,96.34,47.9
103.4,107.8,-4.5,60.3,1.52,17.6,28.6,68.9,49,15.9,49.9,53.7,95.05,48.3
105.3,107.6,-2.3,61.2,1.52,17.6,28.1,71.7,50,16,51,54.6,100.66,49.4
103.9,106.7,-2.8,55.7,1.53,16,28,71.8,50.2,14.2,48.3,52.7,94.12,48.7
104.8,108.4,-3.7,57.7,1.65,16.8,25.2,74.8,49.3,13.7,49.8,53.7,97.64,47.2
105.4,109,-3.5,61.9,1.56,17.6,27.9,70.2,49.4,15.5,49.8,54.9,96.2,49.7
101.5,107.9,-6.5,55.8,1.21,15.4,29.7,73.3,50.8,17.3,48.7,52.6,99.39,45
102.4,109.7,-7.4,58.3,1.51,17,27.9,71.6,49.4,15.3,49.2,52.7,96.12,46
100.7,110.3,-9.7,51.3,1.31,14.1,27.1,71.2,48.4,14.2,46,50.9,96.55,42.4
98.4,108.6,-10.2,59.4,1.31,16.3,25,69.3,46.6,16.5,48.7,51.9,98.44,42.8
110.4,100.4,9.9,65.9,1.9,19.7,27.3,70.3,49.8,14.5,54,57.1,99.28,56.9
108.2,102.3,5.9,67.6,1.81,19.5,26.4,69.7,48.7,15,52.7,56.3,94.66,54
106,102.6,3.4,60,1.33,16.5,30.5,68.6,49.6,17,51.2,54.8,97.36,50.9
111.6,104.7,6.9,62.9,2.01,18.7,27.2,71.6,49.7,12.9,53.3,56.5,95.4,54
104.8,101.2,3.5,57.4,1.62,16.9,28.8,71.6,50.3,14.2,48.9,53.1,92.82,53
107.6,101.4,6.3,62.3,1.75,18.4,27.2,73,50.7,14.6,51.7,55.5,94.45,54.5
110.1,105.3,4.8,58.7,1.55,17.1,31.1,71.1,51.3,15.2,52,55.7,93.23,51.4
107.1,102.8,4.3,56.7,1.61,16.8,28.2,72.8,51,14.2,50.8,54.4,95.06,52.2
106.3,103.3,3,59.3,1.56,16.6,31.2,70.9,51.6,14.7,48.9,53.6,93.8,52.9
108.2,104.9,3.2,56.7,1.74,17,26.9,68.1,47.7,13.3,51.5,55,96.4,52.1
110.2,107.1,3.1,54.7,1.61,16.1,30.1,68.9,49.4,13.7,50.8,55.3,93.46,50.6
103,102.4,0.6,62.7,1.6,18.1,28.8,72.6,51.4,15.7,49.9,53.4,94.29,52.5
107.1,106.3,0.8,58.1,1.66,17.1,30.9,71.2,51.1,14.3,50.1,53.7,92.29,50.8
106.7,104.6,2.1,52.8,1.4,15.3,31.8,73,52.4,15.1,49.2,53.2,96.61,50.5
102,101.4,0.6,62.7,1.41,17.8,29,68.6,49.1,17.5,49.9,53.6,94.82,51.1
103.8,103.5,0.3,62.9,1.77,18,28.9,71,49.5,14.2,48.9,52.3,96.71,49.8
104.2,105.3,-1.1,52.2,1.34,15.4,28.1,69.8,48.9,15.4,50.1,53.7,97.2,49.1
103.4,106.3,-3,55.9,1.51,16.3,27.8,70.1,49.1,14.6,49.1,52.9,93.69,48
102.9,102.7,0.2,58.6,1.53,16.6,28.6,73.5,51.1,14.8,48.4,52.3,93.67,50.5
104.2,104.1,0.1,56.3,1.3,15.8,33.2,71.5,52.4,16.8,49.4,53.1,91.1,50.7
103.2,106.1,-3,56.4,1.34,16.1,28.4,68.7,48.9,16.1,50,54,91.49,49.2
99.6,103,-3.4,56.8,1.69,15.8,27,74.6,50.2,12.6,45.6,49.8,93.45,48.2
104.3,105.4,-1.1,58.2,1.61,16.4,31.6,71.2,50.5,14.2,48.2,51.5,93.68,47.8
103.9,107.1,-3.3,57.7,1.53,16.2,30.3,70,49.4,14.6,47.9,51.8,96.87,46.5
104.5,108.2,-3.7,55.4,1.25,15.5,31.3,71.5,51.9,16.8,49,54.2,96.16,48.5
101,106.8,-5.9,55,1.39,16.2,26.9,71.6,49.1,15.7,49.4,52.4,94.51,45.5
102.3,109.4,-7.1,56.2,1.58,15.9,29,72,49.7,13.8,47.3,51.3,95.03,45
94.9,103.9,-9,60.9,1.16,15.5,29.3,68.6,48,18.3,45.9,49.4,96.45,42.6
98.9,109,-10.1,60.6,1.45,16.7,28.9,69.1,48.4,15.8,47,50.8,92.06,44.1
101.8,110.9,-9.1,59.3,1.44,16.3,31.1,68.2,48.9,15.6,46.8,51.7,95.45,45.3
109.5,101.4,8.1,62.1,1.75,19,26.1,72.5,50.3,15,53.7,57.1,95.87,55.5
109.4,103,6.4,56.2,1.43,16.6,29.4,72.2,51.8,15.8,52,56.6,96.33,54.3
111.3,104,7.3,62.8,1.77,18.3,28.8,69,49.6,14.3,52.6,56.7,96.66,54.8
103.6,98.9,4.7,56,1.33,15.9,29.6,72.1,51.7,16.2,49,53.5,92.89,54.5
109.8,105.2,4.6,56.3,1.33,16.1,30.6,70,51.3,16.5,53.1,57.1,97.27,53.4
110,105,5.1,58.8,1.52,18.1,24.4,68.6,47.6,15.9,55.4,59,91.9,53.9
110.4,106.2,4.2,59.4,1.69,17.2,32,71.3,51.7,14.2,50.4,54.8,95.9,52.4
106.3,101.4,4.9,59.1,1.53,17.4,28.4,72.4,50.8,15.5,51.7,55,97.37,52.8
105.5,103.8,1.7,57.4,1.59,17.1,32.6,71.8,52.1,15,49.4,52.9,90.58,51.8
109.5,107.2,2.3,59.6,1.74,18,27.6,69.4,48.7,14.1,52.6,56.4,94.94,52.1
101.7,99.9,1.9,65.4,1.52,17.6,32.1,71.3,51.8,16.2,47.1,51.8,90.84,52.8
108.2,105.6,2.6,49.3,1.24,14.7,29.8,69.9,50,15.8,51.9,55.8,96.83,50.9
107.9,104.6,3.3,58.1,1.5,16.4,31.2,70.1,50.5,15.1,49.8,54.5,92.48,51.2
105.4,106.7,-1.3,58.5,1.44,16.7,26,68.6,47.5,15.5,51.4,55.5,92.42,49.2
104.9,103.6,1.3,60.1,1.59,17.6,28.6,71.9,49.8,15.3,50.6,53.8,94.18,50.4
103,103.3,-0.4,59.7,1.76,16.9,26.9,73,50,13.1,48.1,52.2,92.93,50.8
107.7,105.2,2.6,61.6,1.72,17.3,31.7,71.5,50.8,14,48.6,53.5,98.33,51.9
104.9,105.7,-0.7,66.7,1.63,18.8,25.6,71.1,48.5,15.9,51.5,55.4,95.41,50.2
107,108.1,-1.1,54.2,1.54,16,29.1,70.5,49.2,14.1,50.5,54.1,91.24,49
105.1,107.3,-2.2,58.4,1.41,16.4,31,70.3,50.5,16,49.7,53.6,98.95,48.1
106.2,109.1,-3,56.3,1.55,16.5,30.5,69.4,49.7,14.7,49.5,53.7,93.07,48.3
103.5,107,-3.6,57.2,1.49,16.2,31.4,71.1,50.8,14.9,47.9,51.8,93.69,46.9
105.2,109,-3.7,53.9,1.44,15.6,34.7,69.3,51.1,15.2,48.2,51.4,95.57,46.4
105.1,107.8,-2.7,51.1,1.24,14.6,31.6,72.5,51.8,15.9,48.4,53.2,95.04,47.3
103.2,109.3,-6,63.9,1.62,18.1,23.5,67.6,45.9,15.2,50.5,54.2,99.72,46
101.9,106.5,-4.6,57.6,1.37,16.2,31.4,70.8,50.5,16.3,47.7,51.7,94.28,46.1
102.4,110.1,-7.6,56.4,1.39,16.1,29.7,70.8,49.7,15.8,48.4,52.3,92.32,45.1
101,106.6,-5.7,57.1,1.41,16.4,26.7,71.4,49,15.6,48.7,52.5,94.27,46.6
99,109,-10,57.6,1.29,16,29,68.4,47.9,16.8,47.5,51,99.74,42.6
101.9,110.2,-8.3,59.6,1.42,16.5,31,67.8,49,16.1,47.9,51.9,92.96,44.9
111.4,103.2,8.2,60,1.65,18.4,26.4,67.8,48.5,15.1,55.2,58.8,91.26,56.4
111,101.2,9.9,56.1,1.4,16.6,29.1,70.2,51.3,16,52.7,58,94.58,57
107,100.3,6.7,64.1,1.71,19.1,24.3,71.5,49.3,15.3,53.1,56.8,95.31,55.1
109.3,104.2,5.1,60,1.6,17.8,34.5,67.5,51.3,15.7,51.5,54.9,95.92,53.8
109.8,102.8,6.9,62,1.64,18.4,32.3,69.7,51.2,15.9,52.6,55.7,91.83,54.8
103.6,99.1,4.5,57.9,1.5,16.5,34.4,70.2,52,15.5,47.2,51.4,89.56,53.1
109.8,105.4,4.5,52.7,1.6,15.6,29.1,70.8,49.4,13.2,51.5,55,90.68,51.2
106.9,104.8,2,56.7,1.38,16.1,34.3,70.1,52,16.2,49.8,53.6,89.88,50.9
103.4,99,4.4,57.8,1.34,16,33.6,70.1,52.2,16.5,47.9,52.1,90.9,53.7
105.1,104.2,0.9,58.9,1.49,17.1,28.5,71.2,50.6,15.7,50.6,54.5,95.64,50.2
102.4,101.9,0.5,64.5,1.61,17.8,33.2,69.9,51.4,15.7,47,51.2,90.35,51.4
108.8,105.3,3.5,60.9,1.41,17.3,30.5,71,50.9,16.9,52.5,56.4,96.89,51
107,105.9,1.1,59.8,1.48,16.8,30.9,70.2,51,15.7,51.2,54.8,95.08,51.3
103.7,103.4,0.3,65.1,1.65,18.8,25.4,70.1,48.2,15.7,51.7,54.6,93.56,50.9
105.4,105.6,-0.2,61,1.54,17.4,32.9,69.7,51,15.9,49.2,53.3,92.05,50.4
102.2,102.6,-0.5,61.4,1.56,17.9,24.6,69,47.7,15.4,50.3,54.2,92.46,50.7
104.7,105.4,-0.6,59.9,1.67,17.7,25.9,69.8,48.4,14.4,50.6,54.4,95.09,50.2
102.5,104.2,-1.7,60,1.62,17,31.5,67.8,49.1,14.6,47.6,51,95.65,48.8
101,104.7,-3.7,61,1.74,17.7,29.1,69.5,48.9,14.1,48.1,50.9,91.88,47.4
105,106.4,-1.4,59.2,1.57,16.9,29.6,68.8,49,14.8,48.8,53.2,91.26,48.4
104.5,107.9,-3.4,59.3,1.48,17,29.4,70.2,49.5,15.7,49.8,53.6,92.46,46.8
101.8,104,-2.2,62.4,1.51,17.1,31.2,70.2,50,15.7,47.3,51.6,93.94,49.4
102.7,107.2,-4.5,58.5,1.4,16.6,32.4,69.5,50.6,16.4,48.7,52.1,91.68,46.7
99.3,101.6,-2.3,61,1.43,16.9,27.9,70.6,49.1,16.1,47.5,51.2,93.23,48.1
105.3,110,-4.7,55.3,1.42,16,30.6,67.3,48.5,15.4,49.1,53.2,94.65,45.4
104.5,108.9,-4.4,58.2,1.44,16.7,33.2,70.5,51.4,16.2,48.9,52.8,89.5,46.4
100.2,106.9,-6.7,60.6,1.45,17.1,30.8,68.7,49.1,16.4,47.7,51.2,94.48,45.8
